filename,unique_id,Total,chromosome,ecDNA
NCIH2170_HIGH_HER2_R1_G2_24_10_20_Merge(RGB).tif,NCIH2170_HIGH_HER2_R1_G2_24_10_20_Merge(RGB),486,15,471
NCIH2170_HIGH_HER2_R1_G0_2501_24_Merge.tif (RGB).tif,NCIH2170_HIGH_HER2_R1_G0_2501_24,155,21,134
NCIH2170_HIGH_HER2_R1_G2_24_10_15A_Merge(RGB).tif,NCIH2170_HIGH_HER2_R1_G2_24_10_15A_Merge(RGB),398,21,377
NCIH2170_HIGH_HER2_R1_G0_2501_122_Merge.tif (RGB).tif,NCIH2170_HIGH_HER2_R1_G0_2501_122,205,5,200
NCIH2170_LOW_HER2_R1_G0_2501_19_Merge.tif (RGB).tif,NCIH2170_LOW_HER2_R1_G0_2501_19,428,3,425
NCIH2170_TOTAL_HER2_R1_G0_2501_98_Merge.tif (RGB).tif,NCIH2170_TOTAL_HER2_R1_G0_2501_98,233,0,233
NCIH2170_HIGH_HER2_R1_G1_2404_S2_100_Merge(RGB).tif,NCIH2170_HIGH_HER2_R1_G1_2404_S2_100_Merge(RGB),157,0,157
NCIH2170_TOTAL_HER2_R1_G1_2404_46_Merge(RGB).tif,NCIH2170_TOTAL_HER2_R1_G1_2404_46_Merge(RGB),266,11,255
NCIH2170_HIGH_HER2_R1_G1_2404_S2_79_Merge(RGB).tif,NCIH2170_HIGH_HER2_R1_G1_2404_S2_79_Merge(RGB),155,8,147
NCIH2170_LOW_HER2_R1_G0_2501_72_Merge.tif (RGB).tif,NCIH2170_LOW_HER2_R1_G0_2501_72,273,4,269
NCIH2170_HIGH_HER2_R1_G1_2404_S2_7_Merge(RGB).tif,NCIH2170_HIGH_HER2_R1_G1_2404_S2_7_Merge(RGB),190,8,182
NCIH2170_LOW_HER2_R1_G0_2501_75_Merge.tif (RGB).tif,NCIH2170_LOW_HER2_R1_G0_2501_75,232,1,231
NCIH2170_LOW_HER2_R1_G1_2404_8_Merge(RGB).tif,NCIH2170_LOW_HER2_R1_G1_2404_8_Merge(RGB),113,0,113
NCIH2170_HIGH_HER2_R1_G2_24_10_76_Merge(RGB).tif,NCIH2170_HIGH_HER2_R1_G2_24_10_76_Merge(RGB),316,28,288
NCIH2170_TOTAL_HER2_R1_G1_2404_105_Merge(RGB).tif,NCIH2170_TOTAL_HER2_R1_G1_2404_105_Merge(RGB),108,4,104
NCIH2170_TOTAL_HER2_R1_G0_2501_15_Merge.tif (RGB).tif,NCIH2170_TOTAL_HER2_R1_G0_2501_15,182,2,180
NCIH2170_HIGH_HER2_R1_G1_2404_S2_35_Merge(RGB).tif,NCIH2170_HIGH_HER2_R1_G1_2404_S2_35_Merge(RGB),130,19,111
NCIH2170_LOW_HER2_R1_G2_24_10_90_Merge(RGB).tif,NCIH2170_LOW_HER2_R1_G2_24_10_90_Merge(RGB),388,11,377
NCIH2170_TOTAL_HER2_R1_G2_24_10_14_Merge(RGB).tif,NCIH2170_TOTAL_HER2_R1_G2_24_10_14_Merge(RGB),120,2,118
NCIH2170_HIGH_HER2_R1_G1_2404_S2_40_Merge(RGB).tif,NCIH2170_HIGH_HER2_R1_G1_2404_S2_40_Merge(RGB),177,0,177
NCIH2170_HIGH_HER2_R1_G2_24_10_14_Merge(RGB).tif,NCIH2170_HIGH_HER2_R1_G2_24_10_14_Merge(RGB),375,7,368
NCIH2170_HIGH_HER2_R1_G1_2404_S2_23_Merge(RGB).tif,NCIH2170_HIGH_HER2_R1_G1_2404_S2_23_Merge(RGB),327,3,324
NCIH2170_TOTAL_HER2_R1_G0_2501_114B_Merge.tif (RGB).tif,NCIH2170_TOTAL_HER2_R1_G0_2501_114B,164,4,160
NCIH2170_LOW_HER2_R1_G1_2404_77_Merge(RGB).tif,NCIH2170_LOW_HER2_R1_G1_2404_77_Merge(RGB),138,3,135
NCIH2170_LOW_HER2_R1_G2_24_10_9_Merge(RGB).tif,NCIH2170_LOW_HER2_R1_G2_24_10_9_Merge(RGB),236,2,234
